gene_id	gene_name	n_go_terms
ENSG00000197122	SRC	129
ENSG00000142192	APP	122
ENSG00000125845	BMP2	120
ENSG00000142156	COL6A1	104
ENSG00000101144	BMP7	99
ENSG00000142168	SOD1	94
ENSG00000087586	AURKA	86
ENSG00000171552	BCL2L1	76
ENSG00000171867	PRNP	73
ENSG00000172216	CEBPB	73
ENSG00000196839	ADA	73
ENSG00000196396	PTPN1	72
ENSG00000078747	ITCH	69
ENSG00000182621	PLCB1	66
ENSG00000101336	HCK	63
ENSG00000101384	JAG1	63
ENSG00000101109	STK4	62
ENSG00000160255	ITGB2	58
ENSG00000101017	CD40	54
ENSG00000101412	E2F1	54
ENSG00000087460	GNAS	53
ENSG00000125863	MKKS	52
ENSG00000101076	HNF4A	51
ENSG00000101188	NTSR1	51
ENSG00000101200	AVP	51
ENSG00000101405	OXT	51
ENSG00000101421	CHMP4B	51
ENSG00000132646	PCNA	51
ENSG00000101266	CSNK2A1	50
ENSG00000157540	DYRK1A	50
ENSG00000158445	KCNB1	50
ENSG00000154639	CXADR	47
ENSG00000160307	S100B	47
ENSG00000198959	TGM2	47
ENSG00000101204	CHRNA4	45
ENSG00000124216	SNAI1	45
ENSG00000125820	NKX2-2	45
ENSG00000159216	RUNX1	45
ENSG00000160179	ABCG1	45
ENSG00000160200	CBS	45
ENSG00000198900	TOP1	45
ENSG00000101350	KIF3B	43
ENSG00000101367	MAPRE1	43
ENSG00000142185	TRPM2	43
ENSG00000205726	ITSN1	43
ENSG00000100985	MMP9	42
ENSG00000101096	NFATC2	42
ENSG00000130702	LAMA5	42
ENSG00000132639	SNAP25	42
ENSG00000180509	KCNE1	42
ENSG00000124181	PLCG1	41
ENSG00000125850	OVOL2	41
ENSG00000125798	FOXA2	40
ENSG00000258366	RTEL1	40
ENSG00000088888	MAVS	39
ENSG00000124205	EDN3	39
ENSG00000125848	FLRT3	39
ENSG00000173404	INSM1	39
ENSG00000203883	SOX18	39
ENSG00000087510	TFAP2C	38
ENSG00000124253	PCK1	38
ENSG00000197381	ADARB1	38
ENSG00000204103	MAFB	38
ENSG00000124140	SLC12A5	37
ENSG00000198171	DDRGK1	37
ENSG00000101460	MAP1LC3A	36
ENSG00000124212	PTGIS	36
ENSG00000159082	SYNJ1	36
ENSG00000160310	PRMT2	36
ENSG00000088832	FKBP1A	35
ENSG00000089006	SNX5	35
ENSG00000089177	KIF16B	35
ENSG00000101126	ADNP	35
ENSG00000101213	PTK6	35
ENSG00000101438	SLC32A1	35
ENSG00000130700	GATA5	35
ENSG00000101347	SAMHD1	34
ENSG00000124198	ARFGEF2	34
ENSG00000125835	SNRPB	34
ENSG00000124164	VAPB	33
ENSG00000125878	TCF15	33
ENSG00000125965	GDF5	33
ENSG00000142182	DNMT3L	33
ENSG00000156256	USP16	33
ENSG00000198053	SIRPA	33
ENSG00000129988	LBP	32
ENSG00000196562	SULF2	32
ENSG00000088836	SLC4A11	31
ENSG00000088930	XRN2	31
ENSG00000101222	SPEF1	31
ENSG00000125826	RBCK1	31
ENSG00000125968	ID1	31
ENSG00000159197	KCNE2	31
ENSG00000160202	CRYAA	31
ENSG00000215305	VPS16	31
ENSG00000054793	ATP9A	30
ENSG00000101255	TRIB3	30
ENSG00000101311	FERMT1	30
ENSG00000171456	ASXL1	30
ENSG00000171587	DSCAM	30
ENSG00000175063	UBE2C	30
ENSG00000180530	NRIP1	30
ENSG00000205927	OLIG2	30
ENSG00000101040	ZMYND8	29
ENSG00000101349	PAK5	29
ENSG00000124214	STAU1	29
ENSG00000156299	TIAM1	29
ENSG00000197496	SLC2A10	29
ENSG00000198743	SLC5A3	29
ENSG00000214078	CPNE1	29
ENSG00000101265	RASSF2	28
ENSG00000124092	CTCFL	28
ENSG00000124126	PREX1	28
ENSG00000124151	NCOA3	28
ENSG00000142178	SIK1	28
ENSG00000157601	MX1	28
ENSG00000289720		28
ENSG00000054796	SPO11	27
ENSG00000100979	PLTP	27
ENSG00000101306	MYLK2	27
ENSG00000101333	PLCB4	27
ENSG00000101473	ACOT8	27
ENSG00000130699	TAF4	27
ENSG00000156261	CCT8	27
ENSG00000166913	YWHAB	27
ENSG00000101197	BIRC7	26
ENSG00000101442	ACTR5	26
ENSG00000124256	ZBP1	26
ENSG00000126001	CEP250	26
ENSG00000155313	USP25	26
ENSG00000157557	ETS2	26
ENSG00000160224	AIRE	26
ENSG00000173638	SLC19A1	26
ENSG00000196090	PTPRT	26
ENSG00000088325	TPX2	25
ENSG00000101052	IFT52	25
ENSG00000101160	CTSZ	25
ENSG00000101161	PRPF6	25
ENSG00000141959	PFKL	25
ENSG00000142166	IFNAR1	25
ENSG00000154736	ADAMTS5	25
ENSG00000160191	PDE9A	25
ENSG00000160209	PDXK	25
ENSG00000160294	MCM3AP	25
ENSG00000171189	GRIK1	25
ENSG00000101224	CDC25B	24
ENSG00000101439	CST3	24
ENSG00000118702	GHRH	24
ENSG00000124209	RAB22A	24
ENSG00000125508	SRMS	24
ENSG00000125875	TBC1D20	24
ENSG00000125885	MCM8	24
ENSG00000158296	SLC13A3	24
ENSG00000183486	MX2	24
ENSG00000242372	EIF6	24
ENSG00000064655	EYA2	23
ENSG00000101152	DNAJC5	23
ENSG00000101447	FAM83D	23
ENSG00000124222	STX16	23
ENSG00000125966	MMP24	23
ENSG00000130589	HELZ2	23
ENSG00000149596	JPH2	23
ENSG00000154734	ADAMTS1	23
ENSG00000156239	HEMK2	23
ENSG00000159110	IFNAR2	23
ENSG00000159131	GART	23
ENSG00000159256	MORC3	23
ENSG00000185513	L3MBTL1	23
ENSG00000197818	SLC9A8	23
ENSG00000198026	ZNF335	23
ENSG00000019186	CYP24A1	22
ENSG00000075043	KCNQ2	22
ENSG00000100997	ABHD12	22
ENSG00000101115	SALL4	22
ENSG00000101194	SLC17A9	22
ENSG00000124171	PARD6B	22
ENSG00000125779	PANK2	22
ENSG00000125813	PAX1	22
ENSG00000125851	PCSK2	22
ENSG00000125870	SNRPB2	22
ENSG00000158470	B4GALT5	22
ENSG00000160199	PKNOX1	22
ENSG00000160208	RRP1B	22
ENSG00000160282	FTCD	22
ENSG00000178726	THBD	22
ENSG00000000419	DPM1	21
ENSG00000026036	RTEL1-TNFRSF6B	21
ENSG00000077984	CST7	21
ENSG00000088833	NSFL1C	21
ENSG00000101310	SEC23B	21
ENSG00000101391	CDK5RAP1	21
ENSG00000101400	SNTA1	21
ENSG00000101463	SYNDIG1	21
ENSG00000124089	MC3R	21
ENSG00000124107	SLPI	21
ENSG00000124145	SDC4	21
ENSG00000125510	OPRL1	21
ENSG00000131069	ACSS2	21
ENSG00000156273	BACH1	21
ENSG00000157554	ERG	21
ENSG00000185917	SETD4	21
ENSG00000198646	NCOA6	21
ENSG00000205581	HMGN1	21
ENSG00000244005	NFS1	21
ENSG00000244687	UBE2V1	21
ENSG00000286235		21
ENSG00000101210	EEF1A2	20
ENSG00000124097	HMGB1P1	20
ENSG00000124215	CDH26	20
ENSG00000124217	MOCS3	20
ENSG00000125869	LAMP5	20
ENSG00000130703	OSBPL2	20
ENSG00000154721	JAM2	20
ENSG00000154727	GABPA	20
ENSG00000159128	IFNGR2	20
ENSG00000159263	SIM2	20
ENSG00000160188	RSPH1	20
ENSG00000182871	COL18A1	20
ENSG00000185052	SLC24A3	20
