gene_id	gene_name	total_unique_exons	shared_exons
ENSG00000101333	PLCB4	172	98
ENSG00000182670	TTC3	141	93
ENSG00000160299	PCNT	140	88
ENSG00000124198	ARFGEF2	101	75
ENSG00000258366	RTEL1	135	73
ENSG00000124155	PIGT	187	66
ENSG00000141959	PFKL	126	65
ENSG00000088367	EPB41L1	147	64
ENSG00000131051	RBM39	170	61
ENSG00000160305	DIP2A	99	59
ENSG00000157601	MX1	154	58
ENSG00000182621	PLCB1	131	58
ENSG00000160191	PDE9A	91	56
ENSG00000205726	ITSN1	123	55
ENSG00000089091	DZANK1	121	54
ENSG00000132670	PTPRA	117	54
ENSG00000182871	COL18A1	89	54
ENSG00000080189	SLC35C2	116	53
ENSG00000092758	COL9A3	86	52
ENSG00000131069	ACSS2	112	50
ENSG00000185658	BRWD1	100	50
ENSG00000142197	DOP1B	80	50
ENSG00000078814	MYH7B	65	50
ENSG00000124181	PLCG1	108	49
ENSG00000064601	CTSA	125	48
ENSG00000125846	ZNF133	95	48
ENSG00000101266	CSNK2A1	149	47
ENSG00000126001	CEP250	98	47
ENSG00000101004	NINL	103	46
ENSG00000196839	ADA	129	45
ENSG00000087460	GNAS	125	45
ENSG00000078747	ITCH	95	45
ENSG00000185513	L3MBTL1	121	44
ENSG00000062598	ELMO2	97	44
ENSG00000101203	COL20A1	89	44
ENSG00000160294	MCM3AP	61	44
ENSG00000196074	SYCP2	74	43
ENSG00000088305	DNMT3B	82	42
ENSG00000198276	UCKL1	76	42
ENSG00000141956	PRDM15	75	42
ENSG00000101452	DHX35	59	42
ENSG00000160200	CBS	138	41
ENSG00000089101	CFAP61	105	40
ENSG00000197586	ENTPD6	93	40
ENSG00000101347	SAMHD1	110	39
ENSG00000101384	JAG1	79	39
ENSG00000075043	KCNQ2	128	38
ENSG00000188559	RALGAPA2	53	38
ENSG00000088854	DNAAF9	52	38
ENSG00000289720		47	38
ENSG00000130703	OSBPL2	114	37
ENSG00000101040	ZMYND8	87	37
ENSG00000142173	COL6A2	86	37
ENSG00000101391	CDK5RAP1	77	37
ENSG00000142185	TRPM2	76	37
ENSG00000159082	SYNJ1	58	37
ENSG00000124126	PREX1	52	37
ENSG00000142207	URB1	50	37
ENSG00000125970	RALY	107	36
ENSG00000160310	PRMT2	106	36
ENSG00000101294	HM13	105	36
ENSG00000124140	SLC12A5	99	36
ENSG00000125826	RBCK1	93	36
ENSG00000101158	NELFCD	77	36
ENSG00000155313	USP25	71	36
ENSG00000177398	UMODL1	59	36
ENSG00000101199	ARFGAP1	90	35
ENSG00000124207	CSE1L	71	35
ENSG00000159131	GART	104	34
ENSG00000160255	ITGB2	100	34
ENSG00000142192	APP	84	34
ENSG00000184012	TMPRSS2	83	34
ENSG00000215305	VPS16	80	34
ENSG00000101310	SEC23B	78	34
ENSG00000156261	CCT8	77	34
ENSG00000170471	RALGAPB	76	34
ENSG00000124177	CHD6	64	34
ENSG00000100991	TRPC4AP	52	34
ENSG00000088930	XRN2	46	34
ENSG00000142166	IFNAR1	80	33
ENSG00000118705	RPN2	77	33
ENSG00000124228	DDX27	76	33
ENSG00000156256	USP16	75	33
ENSG00000088325	TPX2	60	33
ENSG00000124151	NCOA3	58	33
ENSG00000125875	TBC1D20	81	32
ENSG00000132639	SNAP25	78	32
ENSG00000196090	PTPRT	75	32
ENSG00000149451	ADAM33	69	32
ENSG00000101337	TM9SF4	64	32
ENSG00000131044	TTLL9	59	32
ENSG00000100983	GSS	102	31
ENSG00000125991	ERGIC3	93	31
ENSG00000183570	PCBP3	86	31
ENSG00000198900	TOP1	52	31
ENSG00000160218	TRAPPC10	84	30
ENSG00000101019	UQCC1	79	30
ENSG00000156299	TIAM1	68	30
ENSG00000160183	TMPRSS3	55	30
ENSG00000198862	LTN1	50	30
ENSG00000183486	MX2	89	29
ENSG00000160190	SLC37A1	82	29
ENSG00000087586	AURKA	73	29
ENSG00000185917	SETD4	71	29
ENSG00000159086	PAXBP1	61	29
ENSG00000101311	FERMT1	60	29
ENSG00000089177	KIF16B	41	29
ENSG00000214078	CPNE1	91	28
ENSG00000196562	SULF2	90	28
ENSG00000160285	LSS	73	28
ENSG00000089006	SNX5	70	28
ENSG00000042062	RIPOR3	69	28
ENSG00000088836	SLC4A11	63	28
ENSG00000125844	RRBP1	60	28
ENSG00000198026	ZNF335	56	28
ENSG00000089123	TASP1	54	28
ENSG00000171587	DSCAM	37	28
ENSG00000088812	ATRN	32	28
ENSG00000100997	ABHD12	83	27
ENSG00000125967	NECAB3	81	27
ENSG00000125772	GPCPD1	78	27
ENSG00000025293	PHF20	71	27
ENSG00000156304	SCAF4	68	27
ENSG00000160179	ABCG1	54	27
ENSG00000131061	ZNF341	47	27
ENSG00000101343	CRNKL1	39	27
ENSG00000101336	HCK	39	27
ENSG00000054793	ATP9A	34	27
ENSG00000205758	CRYZL1	90	26
ENSG00000160214	RRP1	54	26
ENSG00000160193	WDR4	48	26
ENSG00000168734	PKIG	108	25
ENSG00000101104	PABPC1L	75	25
ENSG00000149636	DSN1	70	25
ENSG00000132664	POLR3F	70	25
ENSG00000089057	SLC23A2	66	25
ENSG00000156265	MAP3K7CL	65	25
ENSG00000101361	NOP56	63	25
ENSG00000100994	PYGB	62	25
ENSG00000244005	NFS1	61	25
ENSG00000101224	CDC25B	59	25
ENSG00000101057	MYBL2	59	25
ENSG00000100982	PCIF1	50	25
ENSG00000157617	C2CD2	40	25
ENSG00000101353	MROH8	37	25
ENSG00000157540	DYRK1A	80	24
