gene_id	gene_name	n_transcripts	avg_exons_per_transcript
ENSG00000087460	GNAS	77	9.77
ENSG00000101333	PLCB4	71	32.51
ENSG00000182621	PLCB1	32	12.16
ENSG00000125510	OPRL1	17	4.59
ENSG00000171700	RGS19	13	5.54
ENSG00000124126	PREX1	5	20.8
ENSG00000101180	HRH3	3	3.67
ENSG00000101292	PROKR2	3	3.0
ENSG00000101188	NTSR1	2	3.5
ENSG00000125522	NPBWR2	2	1.5
ENSG00000171873	ADRA1D	2	2.0
ENSG00000124089	MC3R	1	1.0
ENSG00000132671	SSTR4	1	1.0
