transcript_id	gene_id	gene_name	n_exons	max_exon_rank
ENST00000252999	ENSG00000130702	LAMA5	80	80
ENST00000703224	ENSG00000160299	PCNT	49	49
ENST00000695558	ENSG00000160299	PCNT	48	48
ENST00000696811	ENSG00000182670	TTC3	48	48
ENST00000359568	ENSG00000160299	PCNT	47	47
ENST00000411496	ENSG00000182670	TTC3	47	47
ENST00000480896	ENSG00000160299	PCNT	47	47
ENST00000399017	ENSG00000182670	TTC3	46	46
ENST00000418766	ENSG00000182670	TTC3	46	46
ENST00000450533	ENSG00000182670	TTC3	46	46
ENST00000262873	ENSG00000078814	MYH7B	45	45
ENST00000354749	ENSG00000182670	TTC3	45	45
ENST00000357552	ENSG00000196074	SYCP2	45	45
ENST00000371001	ENSG00000196074	SYCP2	44	44
ENST00000479930	ENSG00000182670	TTC3	44	44
ENST00000859060	ENSG00000182871	COL18A1	43	43
ENST00000859062	ENSG00000182871	COL18A1	43	43
ENST00000859069	ENSG00000182871	COL18A1	43	43
ENST00000333229	ENSG00000185658	BRWD1	42	42
ENST00000380800	ENSG00000185658	BRWD1	42	42
ENST00000651438	ENSG00000182871	COL18A1	42	42
ENST00000859063	ENSG00000182871	COL18A1	42	42
ENST00000859068	ENSG00000182871	COL18A1	42	42
ENST00000970099	ENSG00000182871	COL18A1	42	42
ENST00000342449	ENSG00000185658	BRWD1	41	41
ENST00000355480	ENSG00000182871	COL18A1	41	41
ENST00000359759	ENSG00000182871	COL18A1	41	41
ENST00000859059	ENSG00000182871	COL18A1	41	41
ENST00000859061	ENSG00000182871	COL18A1	41	41
ENST00000859064	ENSG00000182871	COL18A1	41	41
