chrom	gene_id	gene_name	n_transcripts
21	ENSG00000157601	MX1	103
20	ENSG00000088367	EPB41L1	99
20	ENSG00000124155	PIGT	96
20	ENSG00000125846	ZNF133	81
20	ENSG00000131051	RBM39	79
20	ENSG00000168734	PKIG	78
20	ENSG00000087460	GNAS	77
20	ENSG00000132670	PTPRA	76
20	ENSG00000101333	PLCB4	71
20	ENSG00000101266	CSNK2A1	68
21	ENSG00000160200	CBS	68
21	ENSG00000160310	PRMT2	65
20	ENSG00000196839	ADA	64
20	ENSG00000080189	SLC35C2	63
20	ENSG00000125970	RALY	63
20	ENSG00000064601	CTSA	61
20	ENSG00000089063	TMEM230	55
20	ENSG00000075043	KCNQ2	53
20	ENSG00000131069	ACSS2	52
20	ENSG00000132639	SNAP25	52
